Rank,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
519,Christian Peevy,UIW,29,24,4.2,7.8,0.535,0.1,0.4,0.333,4.6,5.2,0.875,2.2,2.6,1.2,3.1,4.4,1,1,0.4,13.1
520,Tyresse Williford,SIUE,30,28.9,3.8,10.3,0.368,1,3.7,0.264,4.5,5.8,0.771,3.5,2.1,0.7,2.9,3.5,3.7,0.8,0.1,13.1
521,Ar'mond Davis,UCSB,32,29.3,4.6,11,0.414,1.5,4.2,0.36,2.4,3.1,0.77,1.2,1.4,1.5,4.4,5.9,1.4,0.7,0.1,13.1
522,Cameron Oluyitan,SUU,34,32.3,4.5,10.1,0.446,1.5,4.1,0.362,2.6,3.4,0.75,2.5,2.4,0.4,3.8,4.2,2.3,1.1,0.4,13.1
523,Will Rayman,CU,35,33.1,4.5,10.5,0.425,1.9,4.4,0.429,2.2,3.2,0.681,1.7,2.9,2,4.5,6.5,1.5,0.9,0.8,13.1
524,Vinnie Shahid,NDSU,35,29.5,4.1,9.3,0.44,1.8,5,0.366,3.1,3.6,0.849,1.4,1.7,0.3,2.7,3,2.6,0.7,0,13.1
525,Kyvon Davenport,UM,36,26.2,4.8,9.6,0.497,1,2.9,0.356,2.5,4.2,0.599,1.5,3.4,2.4,4.6,7,1,0.7,0.8,13.1
526,Reggie Gee,ASU,30,30,4.1,10.5,0.392,1.6,4.2,0.392,3.2,4.3,0.744,2.3,1.8,0.9,3.3,4.2,1.1,0.6,0.3,13
527,DaQuan Jeffries,TU,31,28.1,4.5,8.9,0.502,1.5,4,0.366,2.7,3.5,0.755,1.6,3,1.3,4.3,5.6,1.8,1,1.2,13
528,Shaq Buchanan,MSU,33,33.4,4.9,10.5,0.468,1.5,4.4,0.331,1.8,2.5,0.699,1.2,1.6,0.8,3.4,4.2,1.7,1.8,0.5,13
529,McKinley Wright,CU,35,32.4,4.6,9.3,0.494,1.1,3,0.365,2.7,3.4,0.807,3.1,1.7,0.8,4.1,4.9,4.7,1.1,0.2,13
530,Joshua Patton,CSUS,31,28.9,4.9,8,0.609,0,0,0,3.3,5.4,0.608,1.9,3.2,2.1,4.3,6.4,0.8,0.7,1.6,13
531,Abdul Lewis,NJIT,29,33.1,4.8,11.1,0.435,0.4,1.6,0.244,3,4.4,0.667,3.2,2.7,2.2,6.8,9.1,2,0.4,0.9,13
532,Wendell Mitchell,TAMU,29,30.7,4.4,11.2,0.394,1.9,5.6,0.342,2.3,2.7,0.835,2.6,2.3,0.9,3.3,4.2,2.3,1.8,0.1,13
533,Dwayne Morgan,SUU,4,22.5,5,11.5,0.435,1.5,4,0.375,1.5,2.2,0.667,2.2,1.8,1.2,3.5,4.8,1,1,1.2,13
534,Elijah Thomas,CLEM,34,25.6,5.1,8.3,0.612,0,0,0,2.9,4.5,0.638,2.8,3.3,2.5,5.3,7.8,1.4,0.8,2.2,13
535,Thatch Unruh,UCA,33,31.8,4.2,9.6,0.438,2.1,5.7,0.369,2.5,3.1,0.802,1.8,2.4,0.5,3.2,3.7,2.1,0.9,0,13
536,Nicolas Claxton,UGA,32,31.6,4.3,9.3,0.46,0.6,2,0.281,3.8,6,0.641,2.1,2.8,2.2,6.3,8.6,1.8,1.1,2.5,13
537,K.J. Walton,BSU,32,26.5,4.9,9.2,0.53,0,0.3,0.091,3.1,4.4,0.704,1.9,2.3,1.7,2.7,4.3,0.9,1.3,0.3,13
538,Matt Milon,W&M,30,29.7,4.3,9.8,0.442,3,7.4,0.401,1.3,2,0.678,1.6,1.1,0.3,2.9,3.2,1.3,0.5,0.1,13
539,Payton Pritchard,UO,38,35.5,4.4,10.5,0.417,1.7,5.2,0.328,2.4,2.9,0.838,2,2.2,0.9,3,3.9,4.6,1.8,0.1,12.9
540,Pat Andree,LU,29,29.1,4.4,9.7,0.454,2.4,5.7,0.422,1.7,2.3,0.731,0.9,1.8,0.7,5.5,6.2,1.7,0.5,0.2,12.9
541,Ronnie Harrell,UD,29,27.8,4.6,11.2,0.409,1.7,4.7,0.368,2,2.6,0.797,2.7,1.8,0.7,4.8,5.5,2,0.7,0.4,12.9
542,Dean Wade,KSU,25,30.4,4.9,9.9,0.492,0.9,2.2,0.418,2.2,2.8,0.789,1.4,2.1,2,4.1,6.1,2.8,0.8,0.5,12.9
543,Ezekiel Charles,UNO,23,30.9,4.5,10,0.452,1.8,5,0.365,2,2.7,0.746,1.3,1.7,1.4,4.6,6,1.7,1,0.6,12.9
544,Nick Ward,MSU,34,20.8,4.8,8.3,0.58,0.1,0.1,1,3.3,5,0.653,2,2.5,1.7,4.3,6.1,0.7,0.3,1.2,12.9
545,Jehyve Floyd,HC,33,31.1,5.6,8.3,0.669,0,0.1,0,1.8,3.7,0.479,2.1,2.8,1.8,4.3,6.1,3.5,0.9,2.4,12.9
546,Nathan Cayo,RICH,33,31.4,5.1,8.5,0.599,0.1,0.1,0.5,2.7,4.7,0.577,1.5,2.5,1.3,2.8,4.2,1.8,0.8,0.8,12.9
547,Myles Carter,SEA,33,29.5,4.9,10.4,0.477,0.2,0.5,0.4,2.8,4.6,0.623,2.2,3.7,2.3,5.5,7.9,0.5,0.2,1.8,12.9
548,Otis Livingston II,GMU,33,32.9,4.4,11.3,0.39,1.4,4.5,0.315,2.7,3.1,0.873,2.8,1.7,0.3,2,2.3,4,1,0,12.9
549,Remy Martin,ASU,32,32.6,4.3,10.8,0.402,1.3,4.3,0.312,2.9,3.9,0.736,2.1,1.3,0.7,2.5,3.2,5,1.2,0,12.9
550,Jordan Evans,MVSU,32,28,4.1,12,0.343,1.7,4.9,0.35,2.9,3.9,0.752,1.7,2.1,0.6,2.1,2.6,1.9,0.8,0.1,12.9
551,Jalen Gibbs,MSMU,31,33.3,4.8,11.6,0.411,1.5,5.1,0.296,1.8,2.5,0.722,2,1.9,0.6,4.5,5.1,1.6,0.6,0,12.9
552,Jason Dunne,UHA,33,36.6,4.2,11.3,0.367,2.8,7.8,0.359,1.8,2.1,0.853,2.6,2.4,0.5,2.5,3,3.5,1.2,0.3,12.9
553,J.T. Gibson,UNO,32,33.4,4.7,10.5,0.446,2.4,6.1,0.392,1.1,1.4,0.783,1.3,1.8,0.3,2.5,2.8,2.1,1.2,0.1,12.9
554,Carlos Hines,NAU,30,28.8,4.3,11.7,0.371,1.7,5.7,0.298,2.5,3.4,0.728,2.9,2.6,0.4,2.1,2.5,4,1.4,0.1,12.9
555,Michael Oguine,UM,34,30.3,4.1,8.4,0.496,1,2.9,0.35,3.5,4.9,0.719,1.8,2.4,1.7,3.7,5.4,1.9,1.2,0.7,12.9
556,Brandon Austin,SU,33,31.3,4.4,10.1,0.437,2.7,6.5,0.414,1.3,1.9,0.694,1,2,0.5,3.9,4.5,0.6,1.1,0.2,12.8
557,Keandre Cook,MSU,32,29.1,4.2,9.7,0.437,1.5,4,0.372,2.9,3.9,0.738,2.5,2.1,1,3.2,4.2,0.7,0.9,0.4,12.8
558,K.J. Jackson,UMBC,34,32.3,4.6,11.3,0.406,1.3,4.4,0.298,2.3,3.4,0.687,3.4,2.6,0.7,3.1,3.8,3.1,2.3,0.4,12.8
559,Dylan Frye,BGSU,34,29.7,4.6,11.1,0.412,2.4,6.8,0.361,1.3,1.9,0.683,2,2.5,0.2,2.1,2.4,2.4,1.1,0.1,12.8
560,Kavion Pippen,SIU,32,24.1,5.7,10.2,0.56,0,0.1,0.333,1.4,2,0.714,2.4,2.8,1.5,4.1,5.6,1.6,0.7,2,12.8
561,Shawn Williams,ECU,26,34.6,4.2,11.2,0.377,2.7,7.5,0.359,1.7,1.9,0.878,1,2.2,0.3,1.6,1.8,1.7,0.7,0.1,12.8
562,Femi Olujobi,DEP,36,26.5,4.5,7.5,0.601,0.4,0.9,0.424,3.3,4.8,0.698,1.8,2.4,2,3.5,5.4,1,0.6,0.3,12.8
563,Dallas Polk-Hilliard,GSU,34,31.3,4.7,10,0.466,1.7,3.9,0.447,1.7,2.7,0.62,1.6,2.3,1.1,4.2,5.4,0.9,0.7,0.7,12.8
564,Jordan Poole,UM,37,33.1,4.4,10,0.436,2,5.5,0.369,2,2.4,0.833,1.5,2,0.2,2.8,3,2.2,1.1,0.2,12.8
565,Mack Smith,EIU,32,30.3,4.3,10.8,0.397,2.5,6.8,0.37,1.7,2.4,0.688,1.2,2.3,0.5,3.7,4.2,1.5,0.7,0.2,12.8
566,Efe Odigie,UTEP,25,27.3,4.7,9.7,0.486,0,0,0,3.3,4.8,0.683,3,3,2.7,7.4,10.1,0.6,0.6,0.5,12.7
567,Shaun Doss,UAPB,32,30.4,4.1,8.8,0.463,0.6,2.1,0.294,4,5.9,0.676,2.3,2.4,1.4,2.8,4.2,1.7,1.1,0.4,12.7
568,Scottie James,LIB,36,24.5,4.9,7.3,0.667,0.2,0.7,0.333,2.7,3.8,0.713,1.7,2,2.9,5.7,8.6,1.1,0.3,0.6,12.7
569,Jared Wilson-Frame,PITT,32,31.3,4.3,10.6,0.409,3.1,7.8,0.395,0.9,1.2,0.769,1.2,2.3,1.2,3.8,5,1.4,0.5,0.2,12.7
570,Saben Lee,VU,32,32.6,3.9,8.5,0.46,0.8,2.2,0.362,4.1,6.1,0.675,2.8,1.9,0.4,2.9,3.3,3.8,1,0.2,12.7
571,Nate Navigato,U of T,33,33.3,4.5,9.3,0.479,2.6,5.6,0.459,1.2,1.4,0.848,0.9,1.2,0.7,2.8,3.5,2.5,0.6,0.6,12.7
572,"Marlon Hunter, Jr.",JSU,33,29.8,5.4,11.2,0.478,0.6,1.6,0.358,1.4,1.9,0.714,1.3,1.4,1.5,2.5,3.9,0.8,1,0.1,12.7
573,Nick Sherod,RICH,6,32,4.8,10,0.483,1.5,4,0.375,1.5,2.3,0.643,2.2,1.2,0.7,4.5,5.2,2.8,1.3,0,12.7
574,Alter Gilbert,UConn,25,29.4,4.2,11.1,0.381,1.7,5,0.336,2.5,3.2,0.775,2.3,2.2,0.4,2.5,2.9,3.6,1.3,0.1,12.6
